GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200908,WO,SK,T,W,27.0,186.0,45.0,16.0,4.0,0.0,3.0,0.0,5.0,8.0,0.0,15.0,12.0
200909,OB,KT,B,L,33.0,179.0,38.0,5.0,0.0,0.0,1.0,1.0,4.0,13.0,0.0,4.0,3.0
200909,KT,OB,T,W,33.0,161.0,41.0,10.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0,2.0,2.0
200909,NC,LT,B,L,30.0,184.0,36.0,8.0,3.0,0.0,0.0,0.0,10.0,7.0,0.0,7.0,7.0
200909,LT,NC,T,W,30.0,194.0,42.0,11.0,4.0,1.0,1.0,1.0,5.0,9.0,1.0,5.0,5.0
200909,SK,WO,B,L,27.0,238.0,35.0,11.0,2.0,0.0,1.0,3.0,16.0,5.0,3.0,13.0,11.0
200909,WO,SK,T,W,27.0,135.0,35.0,9.0,1.0,0.0,2.0,0.0,2.0,3.0,2.0,4.0,4.0
200910,NC,KT,B,W,27.0,126.0,32.0,8.0,0.0,1.0,4.0,0.0,4.0,7.0,1.0,8.0,8.0
200910,KT,NC,T,L,24.0,176.0,36.0,13.0,3.0,0.0,3.0,0.0,9.0,4.0,0.0,13.0,12.0
200910,HH,SK,B,L,27.0,153.0,36.0,9.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,5.0,5.0
200910,SK,HH,T,W,27.0,127.0,30.0,5.0,0.0,0.0,0.0,0.0,4.0,9.0,2.0,1.0,1.0
200910,LT,SS,B,W,27.0,147.0,37.0,10.0,5.0,0.0,0.0,0.0,3.0,6.0,0.0,8.0,8.0
200910,SS,LT,T,L,24.0,200.0,45.0,21.0,3.0,0.0,2.0,0.0,5.0,6.0,0.0,13.0,13.0
200910,LG,WO,B,W,27.0,136.0,32.0,6.0,1.0,0.0,1.0,0.0,3.0,7.0,0.0,1.0,1.0
200910,WO,LG,T,L,24.0,149.0,35.0,10.0,2.0,0.0,1.0,0.0,5.0,7.0,0.0,6.0,4.0
200911,NC,KT,B,W,27.0,153.0,31.0,6.0,0.0,1.0,1.0,0.0,6.0,10.0,1.0,1.0,1.0
200911,KT,NC,T,L,24.0,154.0,37.0,13.0,4.0,0.0,3.0,2.0,3.0,7.0,0.0,9.0,9.0
200911,HH,SK,B,L,27.0,139.0,33.0,8.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,3.0
