GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200908,LT,NC,T,33.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,9.0
200908,NC,LT,B,42.0,14.0,14.0,17.0,5.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,8.0
200908,LG,HT,T,35.0,2.0,2.0,11.0,3.0,1.0,0.0,0.0,8.0,3.0,2.0,1.0,14.0
200908,HT,LG,B,31.0,3.0,3.0,7.0,4.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,7.0
200908,KT,OB,T,33.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,11.0
200908,HH,SS,T,36.0,4.0,4.0,10.0,2.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,9.0
200908,WO,SK,T,43.0,15.0,16.0,17.0,4.0,0.0,5.0,0.0,6.0,7.0,1.0,4.0,6.0
200908,SS,HH,B,36.0,2.0,2.0,7.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,8.0
200908,OB,KT,B,36.0,6.0,8.0,12.0,7.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,7.0
200909,LT,NC,T,36.0,7.0,7.0,8.0,3.0,0.0,0.0,0.0,10.0,7.0,0.0,2.0,11.0
200909,SK,WO,B,35.0,4.0,4.0,9.0,1.0,0.0,2.0,0.0,2.0,3.0,2.0,4.0,6.0
200909,WO,SK,T,35.0,10.0,13.0,11.0,2.0,0.0,1.0,3.0,16.0,5.0,3.0,1.0,13.0
200909,HH,SS,T,37.0,7.0,7.0,12.0,1.0,0.0,1.0,0.0,6.0,10.0,1.0,1.0,9.0
